Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.9331,8.0665,7.8034,8.0665,632096,0
2005-02-28,8.0756,8.1248,7.8524,7.8615,750398,0
2005-03-01,7.8673,8.1101,7.8524,8.0756,977229,0
2005-03-02,8.0385,8.1335,8.0385,8.0625,837318,0
2005-03-03,8.0625,8.148,8.0287,8.0996,541465,0
2005-03-04,8.0707,8.148,7.9183,8.1429,1219409,0
2005-03-07,8.1429,8.2104,8.0756,8.1248,587457,0
2005-03-08,8.1676,8.2162,8.0813,8.0813,1124808,0
2005-03-09,8.2051,8.2051,8.0385,8.0625,503940,0
2005-03-10,8.1156,8.2162,8.0756,8.1284,369083,0
2005-03-11,8.0863,8.1719,8.0756,8.1719,393268,0
2005-03-14,8.1719,8.2436,8.1284,8.2394,540575,0
2005-03-15,8.2735,8.5727,8.2623,8.4196,884438,0
2005-03-16,8.4196,8.4354,8.2248,8.2539,495105,0
2005-03-17,8.2333,8.462,8.1574,8.3682,431490,0
2005-03-18,8.4903,8.5019,8.2539,8.364,980761,0
2005-03-21,8.4196,8.4196,8.2188,8.3529,604755,0
2005-03-22,8.364,8.3878,8.2104,8.2777,619937,0
2005-03-23,8.1966,8.3401,8.1156,8.1284,866235,0
2005-03-24,8.1248,8.1915,7.962,8.1156,791509,0
2005-03-28,8.1248,8.1523,8.0228,8.0625,322537,0
2005-03-29,8.0089,8.0427,7.9331,7.9958,647146,0
2005-03-30,7.9134,8.0665,7.8615,8.0665,475076,0
2005-03-31,8.0228,8.0524,7.939,8.0196,462458,0
2005-04-01,7.962,8.148,7.9439,8.0625,366585,0
2005-04-04,7.9908,8.4257,7.9908,8.3878,416045,0
2005-04-05,8.4354,8.4354,8.1762,8.3588,368050,0
2005-04-06,8.2904,8.4779,8.2394,8.4058,626266,0
2005-04-07,8.3298,8.4302,8.3196,8.3964,561681,0
2005-04-08,8.3248,8.4107,8.2735,8.2735,440455,0
2005-04-11,8.2623,8.334,8.0524,8.0524,247628,0
2005-04-12,8.0574,8.364,8.0139,8.3196,350353,0
2005-04-13,8.3015,8.3153,8.0904,8.1429,303319,0
2005-04-14,8.148,8.1719,7.9282,7.939,514148,0
2005-04-15,7.8894,7.999,7.7946,7.8853,496532,0
2005-04-18,7.8853,7.9751,5.4288,7.6406,6346658,0
2005-04-19,7.5748,7.9463,7.5269,7.9224,757320,0
2005-04-20,7.9463,7.9463,7.4115,7.4837,748760,0
2005-04-21,7.5177,7.7137,7.4462,7.67,1127262,0
2005-04-22,7.6749,7.8756,7.5748,7.7946,566929,0
2005-04-25,7.7946,7.962,7.7034,7.9463,480564,0
2005-04-26,7.8987,7.9331,7.6995,7.6995,355730,0
2005-04-27,7.6995,7.6995,7.4884,7.5322,1016112,0
2005-04-28,7.4407,7.6359,7.3114,7.5269,634938,0
